Entidad federativa,1990,1995,2000,2005,2010,2015
Aguascalientes,719659,862720,944285,1065416,1184996,1312544
Baja California,1660855,2112140,2487367,2844469,3155070,3315766
Baja California Sur,317764,375494,424041,512170,637026,712029
Campeche,535185,642516,690689,754730,822441,899931
Coahuila,1972340,2173775,2298070,2495200,2748391,2954915
Colima,428510,488028,542627,567996,650555,711235
Chiapas,3210496,3584786,3920892,4293459,4796580,5217908
Chihuahua,2441873,2793537,3052907,3241444,3406465,3556574
Distrito Federal,8235744,8489007,8605239,8720916,8851080,8918653
Durango,1349378,1431748,1448661,1509117,1632934,1754754
Guanajuato,3982593,4406568,4663032,4893812,5486372,5853677
Guerrero,2620637,2916567,3079649,3115202,3388768,3533251
Hidalgo,1888366,2112473,2235591,2345514,2665018,2858359
Jalisco,5302689,5991176,6322002,6752113,7350682,7844830
México,9815795,11707964,13096686,14007495,15175862,16187608
Michoacán,3548199,3870604,3985667,3966073,4351037,4584471
Morelos,1195059,1442662,1555296,1612899,1777227,1903811
Nayarit,824643,896702,920185,949684,1084979,1181050
Nuevo León,3098736,3550114,3834141,4199292,4653458,5119504
Oaxaca,3019560,3228895,3438765,3506821,3801962,3967889
Puebla,4126101,4624365,5076686,5383133,5779829,6168883
Querétaro,1051235,1250476,1404306,1598139,1827937,2038372
Quintana Roo,493277,703536,874963,1135309,1325578,1501562
San Luis Potosí,2003187,2200763,2299360,2410414,2585518,2717820
Sinaloa,2204054,2425675,2536844,2608442,2767761,2966321
Sonora,1823606,2085536,2216969,2394861,2662480,2850330
Tabasco,1501744,1748769,1891829,1989969,2238603,2395272
Tamaulipas,2249581,2527328,2753222,3024238,3268554,3441698
Tlaxcala,761277,883924,962646,1068207,1169936,1272847
Veracruz,6228239,6737324,6908975,7110214,7643194,8112505
Yucatán,1362940,1556622,1658210,1818948,1955577,2097175
Zacatecas,1276323,1336496,1353610,1367692,1490668,1579209
